"site","unit","plot","treatment","timestep","l_tph","l_ba","l_qmd","d_tph","d_ba","p_ba","p_seed","np_seed","p_sap","np_sap","midstory_shrubs","graminoids","forb","shrub","tree","vine","non_native","richness","diversity","evenness","ground","fine","cwd","ptorch","pmort"
"California","180","0180-00111","Mech+Fire","pre",567.9,68.46,39.18,49.38,9.65,30.15,1482.63,4200.79,0,24.69,NA,4,26,36,4,NA,NA,12,2.38,0.56,30.33,10.55,10.06,80,100
"California","180","0180-00111","Mech+Fire","post",123.46,41.02,65.04,74.07,15.3,54.29,2718.16,7907.37,0,0,NA,0,0,35,0,NA,NA,1,0,0,11.56,1.25,0,10,19
"California","180","0180-00114","Mech+Fire","pre",222.22,79.88,67.65,24.69,3.09,66.88,2718.16,8648.69,246.91,246.91,NA,8,32,30,0,NA,NA,16,2.75,0.65,31.78,5.97,40.87,0,6
"California","180","0180-00114","Mech+Fire","post",49.38,35.38,95.51,49.38,22.68,82.66,2223.95,0,0,0,NA,0,0,10,0,NA,NA,1,0,0,6.33,2.98,6.36,0,2
"California","180","0180-00117","Mech+Fire","pre",246.91,42.91,47.04,49.38,4.81,0,2718.16,4942.11,740.74,3456.79,NA,11,12,38,4,NA,NA,10,1.98,0.47,134.12,18.04,28.83,100,100
"California","180","0180-00117","Mech+Fire","post",24.69,17.31,94.49,0,0,0,0,0,0,0,NA,0,0,10,0,NA,NA,1,0,0,21.88,7.92,0,0,2
"California","180","0180-00120","Mech+Fire","pre",320.99,27.38,32.96,49.38,6.99,72.93,741.32,247.11,0,0,NA,4,24,24,0,NA,NA,11,2.31,0.58,19.3,7.62,4.87,3,12
"California","180","0180-00120","Mech+Fire","post",24.69,5.52,53.34,0,0,100,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,23.06,12.97,0,0,6
"California","180","0180-00121","Mech+Fire","pre",765.43,66.14,33.17,0,0,39.42,494.21,0,0,0,NA,8,34,16,0,NA,NA,14,2.63,0.65,70.67,14.43,10.93,49,100
"California","180","0180-00121","Mech+Fire","post",123.46,40.71,64.79,49.38,24.62,53.02,0,247.11,0,0,NA,0,0,35,0,NA,NA,1,0,0,29.97,2.57,0,0,6
"California","190","0190-00010","Mech","pre",493.83,66.1,41.28,0,0,36.46,0,0,0,2716.05,NA,0,0,0,10,NA,NA,1,0,0,122.83,15.36,6.31,100,12
"California","190","0190-00010","Mech","post",123.46,43.16,66.71,0,0,35.51,3706.58,5189.21,0,0,NA,0,0,0,2,NA,NA,1,0,0,136.53,22.67,6.71,0,4
"California","190","0190-00024","Mech","pre",222.22,66.36,61.66,24.69,23.04,34.57,988.42,2718.16,0,0,NA,0,0,0,15,NA,NA,1,0,0,52.47,30.76,33,0,10
"California","190","0190-00024","Mech","post",148.15,61.44,72.66,49.38,35.01,38.13,741.32,988.42,49.38,24.69,NA,0,0,0,0,NA,NA,0,0,0,148.47,21.35,9.19,0,7
"California","190","0190-00025","Mech","pre",148.15,41.89,60,24.69,2.11,22.47,494.21,494.21,0,0,NA,5,5,5,0,NA,NA,3,1.1,0.41,31.65,9.62,30.17,0,9
"California","190","0190-00025","Mech","post",74.07,32.87,75.16,49.38,18.45,23.89,3706.58,2718.16,0,49.38,NA,0,0,0,0,NA,NA,0,0,0,38.75,30.38,19.73,8,7
"California","190","0190-00026","Mech","pre",469.14,48.2,36.17,0,0,24.03,247.11,1729.74,0,0,NA,0,5,0,5,NA,NA,2,0.69,0.3,38.19,6.54,2.12,0,13
"California","190","0190-00026","Mech","post",123.46,49.11,71.17,24.69,6.28,32.21,0,1482.63,0,0,NA,0,0,0,0,NA,NA,0,0,0,57.48,8.9,3.48,1,6
"California","190","0190-00027","Mech","pre",123.46,27.75,53.49,0,0,0,1235.53,2223.95,0,0,NA,5,10,0,0,NA,NA,3,1.1,0.41,6.76,6.37,5.85,0,8
"California","190","0190-00027","Mech","post",74.07,29.18,70.82,0,0,0,4200.79,9637.11,24.69,49.38,NA,0,2,0,0,NA,NA,1,0,0,101.7,9.32,12.82,4,8
"California","190","0190-00102","Mech","pre",370.37,64.86,47.22,24.69,0.95,5.68,1729.74,4695,0,1259.26,NA,4,18,8,6,NA,NA,8,2.06,0.58,92.83,13.41,16.12,100,100
"California","190","0190-00102","Mech","post",197.53,83.31,73.28,24.69,5.95,6.66,741.32,10131.32,0,0,NA,0,0,0,5,NA,NA,1,0,0,46.57,11.74,4.49,2,5
"California","190","0190-00104","Mech","pre",172.84,50.58,61.04,0,0,100,3212.37,741.32,0,0,NA,14,28,8,4,NA,NA,13,2.56,0.64,78.91,24.57,26.89,0,15
"California","190","0190-00104","Mech","post",123.46,37.74,62.39,0,0,99.1,3212.37,8154.48,1407.41,1604.94,NA,0,0,0,0,NA,NA,0,0,0,33.04,10.81,60.09,100,95
"California","190","0190-00106","Mech","pre",271.6,30.21,37.63,0,0,0,0,741.32,0,0,NA,10,12,14,8,NA,NA,10,2.29,0.6,41.02,5.51,4.4,0,12
"California","190","0190-00106","Mech","post",98.77,24.09,55.73,0,0,0,4942.11,3212.37,0,0,NA,0,0,0,0,NA,NA,0,0,0,386.23,10.97,2.51,7,14
"California","190","0190-00108","Mech","pre",395.06,50.5,40.34,0,0,10.03,247.11,247.11,0,0,NA,8,0,4,6,NA,NA,4,1.37,0.47,14.28,13.95,12.38,25,13
"California","190","0190-00108","Mech","post",98.77,38.19,70.17,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,61.37,8.72,1.35,7,4
"California","190","0190-00110","Mech","pre",395.06,47.64,39.19,74.07,7.22,24.25,1729.74,0,0,0,NA,4,4,0,4,NA,NA,3,1.1,0.44,12.41,6.18,13.87,0,12
"California","190","0190-00110","Mech","post",123.46,45.47,68.48,24.69,2.25,32.12,0,741.32,0,0,NA,0,0,0,0,NA,NA,0,0,0,131.85,23.81,13.35,0,4
"California","190","0190-00111","Mech","pre",320.99,55.65,46.98,74.07,9.86,41.74,247.11,247.11,0,0,NA,4,20,8,10,NA,NA,10,2.29,0.61,40.38,16.19,33.27,0,10
"California","190","0190-00111","Mech","post",172.84,62.45,67.82,24.69,0.95,60.7,1729.74,6424.74,0,0,NA,0,0,0,0,NA,NA,0,0,0,46.92,18.67,11.5,18,6
"California","190","0190-00113","Mech","pre",691.36,57.18,32.45,0,0,29.97,247.11,1976.84,0,0,NA,0,12,6,26,NA,NA,5,1.24,0.33,35.66,12.51,5.07,92,49
"California","190","0190-00113","Mech","post",395.06,75.24,49.24,24.69,1.13,34.52,494.21,5189.21,0,691.36,NA,0,0,0,0,NA,NA,0,0,0,125.49,9.02,7.42,85,12
"California","190","0190-00114","Mech","pre",469.14,42.92,34.13,24.69,1.08,15.69,1729.74,1482.63,0,246.91,NA,0,4,4,4,NA,NA,3,1.1,0.44,10.27,14.05,2.91,0,22
"California","190","0190-00114","Mech","post",543.21,52.22,34.99,24.69,8.26,22.82,247.11,0,24.69,1358.02,NA,0,0,0,35,NA,NA,1,0,0,74.27,8.08,58.53,100,96
"California","190","0190-00116","Mech","pre",641.98,60.92,34.76,49.38,3.03,23.54,0,988.42,987.65,271.6,NA,0,0,0,6,NA,NA,1,0,0,201.5,4.64,12.55,88,21
"California","190","0190-00116","Mech","post",444.44,52.27,38.7,74.07,16.1,14.59,494.21,6918.95,24.69,1111.11,NA,0,0,0,20,NA,NA,1,0,0,166.79,16.82,9.03,100,17
"California","240","0240-00003","Control","pre",296.3,30.11,35.97,0,0,26.8,0,247.11,0,0,NA,0,0,5,0,NA,NA,1,0,0,88.89,9.85,45.36,5,21
"California","240","0240-00003","Control","post",246.91,49.95,50.75,0,0,34.48,2718.16,4942.11,271.6,1234.57,NA,0,0,5,0,NA,NA,1,0,0,86.96,8.2,51.32,100,91
"California","240","0240-00005","Control","pre",469.14,38.73,32.42,0,0,40.36,12849.48,741.32,0,246.91,NA,0,0,0,0,NA,NA,0,0,0,27.16,7.8,1.64,0,27
"California","240","0240-00005","Control","post",444.44,41.74,34.58,74.07,11.87,34.6,12602.38,1235.53,419.75,716.05,NA,0,0,0,0,NA,NA,0,0,0,44.22,9.05,7,74,99
"California","240","0240-00007","Control","pre",567.9,53.3,34.57,0,0,54.56,741.32,0,0,0,NA,0,0,0,5,NA,NA,1,0,0,189.95,2.65,23.04,23,16
